Código,Departamento,Provincia,Distrito,No Pobre,Pobre,Pobre extremo
50410,AYACUCHO,HUANTA,UCHURACCAY,35,201,1175
50411,AYACUCHO,HUANTA,PUCACOLPA,42,333,731
50412,AYACUCHO,HUANTA,CHACA,23,504,272
,AYACUCHO,HUANTA,PUTIS,3,166,5
50501,AYACUCHO,LA MAR,SAN MIGUEL,455,1311,1231
50502,AYACUCHO,LA MAR,ANCO,347,1534,927
50503,AYACUCHO,LA MAR,AYNA,596,1337,862
50504,AYACUCHO,LA MAR,CHILCAS,52,276,521
50505,AYACUCHO,LA MAR,CHUNGUI,53,595,985
50506,AYACUCHO,LA MAR,LUIS CARRANZA,40,304,320
50507,AYACUCHO,LA MAR,SANTA ROSA,661,1485,1509
50508,AYACUCHO,LA MAR,TAMBO,467,1927,1582
50509,AYACUCHO,LA MAR,SAMUGARI,335,587,2255
50510,AYACUCHO,LA MAR,ANCHIHUAY,104,457,1065
50511,AYACUCHO,LA MAR,ORONCCOY,22,29,500
,AYACUCHO,LA MAR,UNION PROGRESO,62,246,496
,AYACUCHO,LA MAR,RIO MAGDALENA,3,90,458
,AYACUCHO,LA MAR,NINABAMBA,37,366,330
,AYACUCHO,LA MAR,PATIBAMBA,94,314,203
50601,AYACUCHO,LUCANAS,PUQUIO,1306,2165,1210
50602,AYACUCHO,LUCANAS,AUCARA,58,412,386
50603,AYACUCHO,LUCANAS,CABANA,56,330,46
50604,AYACUCHO,LUCANAS,CARMEN SALCEDO,92,268,78
50605,AYACUCHO,LUCANAS,CHAVINA,76,430,237
50606,AYACUCHO,LUCANAS,CHIPAO,66,266,591
50607,AYACUCHO,LUCANAS,HUAC-HUAS,67,229,221
50608,AYACUCHO,LUCANAS,LARAMATE,40,299,158
50609,AYACUCHO,LUCANAS,LEONCIO PRADO,31,152,214
