Departamento,Provincia,Distrito,No Pobre,Pobre,Pobre extremo
AYACUCHO,PARINACOCHAS,CORACORA,675,1700,1101
AYACUCHO,PARINACOCHAS,CHUMPI,103,499,218
AYACUCHO,PARINACOCHAS,CORONEL CASTAÑEDA,77,95,144
AYACUCHO,PARINACOCHAS,PACAPAUSA,22,148,130
AYACUCHO,PARINACOCHAS,PULLO,369,558,263
AYACUCHO,PARINACOCHAS,PUYUSCA,203,360,185
AYACUCHO,PARINACOCHAS,SAN FRANCISCO DE RAVACAYCO,59,81,67
AYACUCHO,PARINACOCHAS,UPAHUACHO,36,278,279
AYACUCHO,PAUCAR DEL SARA SARA,PAUSA,205,457,327
AYACUCHO,PAUCAR DEL SARA SARA,COLTA,18,97,76
AYACUCHO,PAUCAR DEL SARA SARA,CORCULLA,17,71,69
AYACUCHO,PAUCAR DEL SARA SARA,LAMPA,123,454,147
AYACUCHO,PAUCAR DEL SARA SARA,MARCABAMBA,18,104,86
AYACUCHO,PAUCAR DEL SARA SARA,OYOLO,44,208,155
AYACUCHO,PAUCAR DEL SARA SARA,PARARCA,19,105,55
AYACUCHO,PAUCAR DEL SARA SARA,SAN JAVIER DE ALPABAMBA,34,68,101
AYACUCHO,PAUCAR DEL SARA SARA,SAN JOSE DE USHUA,16,56,19
AYACUCHO,PAUCAR DEL SARA SARA,SARA SARA,49,120,32
AYACUCHO,SUCRE,QUEROBAMBA,182,461,163
AYACUCHO,SUCRE,BELEN,11,58,36
AYACUCHO,SUCRE,CHALCOS,13,139,36
AYACUCHO,SUCRE,CHILCAYOC,35,141,49
AYACUCHO,SUCRE,HUACAÑA,57,70,52
AYACUCHO,SUCRE,MORCOLLA,44,272,179
AYACUCHO,SUCRE,PAICO,32,129,156
AYACUCHO,SUCRE,SAN PEDRO DE LARCAY,24,176,156
